id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
1342043490398914341,444141348,Fatih,41.031098414270616,28.945878628297447,Entire home/apt,2290.0,5,4,2025-09-19,0.58,2,180,4,Avrupa
1342082318675744621,304448264,Beyoglu,41.0384596,28.983504,Private room,1101.0,7,4,2025-09-02,0.67,7,328,4,Avrupa
1342210705450176162,380165223,Beyoglu,41.03428415635824,28.98130365125515,Entire home/apt,3430.0,2,26,2025-08-19,3.44,13,327,26,Avrupa
1342423666721201645,211277594,Sisli,41.05474241348088,28.98905724496485,Entire home/apt,3178.0,100,1,2025-04-07,0.17,5,364,1,Avrupa
1342517182143105214,211277594,Sisli,41.05517100224255,28.98832824954398,Private room,1860.0,1,2,2025-09-08,1.13,5,364,2,Avrupa
1342688408548327473,260948258,Kadikoy,40.9847,29.03187,Private room,950.0,100,0,No Review,0.0,1,365,0,Anadolu
1342742162755077558,377740041,Beyoglu,41.02835,28.97668,Entire home/apt,3063.0,1,41,2025-09-21,5.1,54,108,41,Avrupa
1342778231911332045,538079262,Bahcelievler,40.99411464155612,28.84361860276402,Entire home/apt,3827.0,5,0,No Review,0.0,45,365,0,Avrupa
1342779065192536556,145594968,Sile,41.16546210856382,29.579231701791286,Entire home/apt,6236.0,2,19,2025-09-21,3.11,1,266,19,Anadolu
1342810450077117869,505772071,Beyoglu,41.0342,28.97331,Private room,943.0,30,0,No Review,0.0,5,365,0,Avrupa
1342818485767972516,505772071,Beyoglu,41.03556410146093,28.971526907799507,Private room,976.0,30,0,No Review,0.0,5,365,0,Avrupa
1342823694350834456,505772071,Beyoglu,41.0341177186104,28.97295211676633,Private room,830.0,30,0,No Review,0.0,5,365,0,Avrupa
1342826876350381548,505772071,Beyoglu,41.03430964767937,28.9719710311186,Private room,879.0,30,0,No Review,0.0,5,365,0,Avrupa
1342842087545423170,492721093,Beyoglu,41.03766505012282,28.983017347221363,Private room,1440.0,100,1,2025-05-02,0.2,3,365,1,Avrupa
1342864028656286646,377740041,Beyoglu,41.02862243054453,28.977118181374557,Entire home/apt,2114.0,1,31,2025-09-28,3.86,54,103,31,Avrupa
1342944421349945746,377740041,Beyoglu,41.02788686623081,28.975311143750226,Entire home/apt,2464.0,1,27,2025-09-30,3.35,54,106,27,Avrupa
1343307515071666612,377740041,Beyoglu,41.02799697922482,28.975671654113167,Entire home/apt,2212.0,1,15,2025-08-23,1.92,54,107,15,Avrupa
1343324199406185772,21636586,Beyoglu,41.028387766548704,28.97142661582712,Entire home/apt,4271.0,3,7,2025-08-26,1.03,127,356,7,Avrupa
1343346245355871972,1806816,Beyoglu,41.036167858731424,28.971910112391928,Private room,733.0,100,0,No Review,0.0,7,365,0,Avrupa
1343356244959863763,367862161,Kagithane,41.08364,28.998436,Entire home/apt,4991.0,3,1,2025-09-23,1.0,29,364,1,Avrupa
1343358582836795841,27787812,Fatih,41.00653753245225,28.970585465060488,Entire home/apt,2866.0,2,2,2025-07-22,0.36,4,328,2,Avrupa
1343367193374512660,140003574,Beyoglu,41.034112686290975,28.983508050262444,Private room,2708.0,1,9,2025-09-01,1.31,11,90,9,Avrupa
1343368078199393797,671712123,Kadikoy,40.98716252635925,29.02539812028408,Private room,913.0,100,0,No Review,0.0,1,180,0,Anadolu
1343416988450578391,1806816,Beyoglu,41.036700485585705,28.97245885019573,Private room,815.0,100,0,No Review,0.0,7,265,0,Avrupa
1343423455134855387,377740041,Beyoglu,41.02793701156539,28.975230070870783,Entire home/apt,2289.0,1,27,2025-09-19,3.45,54,110,27,Avrupa
1343612978968160307,672241480,Fatih,41.03184,28.94747,Entire home/apt,2005.0,1,4,2025-05-22,0.58,3,365,4,Avrupa
1343628363740728527,12756893,Sisli,41.0571461,28.9842925,Entire home/apt,2020.0,3,0,No Review,0.0,101,326,0,Avrupa
1343880611122846745,183337842,Beyoglu,41.05628075288938,28.952432379547123,Entire home/apt,1635.0,4,10,2025-09-04,1.43,13,146,10,Avrupa
1344101013452590074,261317628,Atasehir,40.99334660333653,29.0855235868164,Entire home/apt,1493.0,102,0,No Review,0.0,4,302,0,Anadolu
1344119622228943401,664438348,Sisli,41.0743365,28.9940828,Entire home/apt,2650.0,100,0,No Review,0.0,1,364,0,Avrupa
